country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,vaccines,source_name
Ecuador,2021-05-02,1067472.0,821960.0,245512.0,30678.0,46219.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-03,,,,,48411.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-04,1141262.0,889218.0,252044.0,,46441.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-05,1182085.0,924539.0,257546.0,40823.0,45813.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-06,1215676.0,953238.0,262438.0,33591.0,42116.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-07,1245822.0,981620.0,264202.0,30146.0,36910.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-08,,,,,33014.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-09,1289962.0,1024121.0,265841.0,,31784.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-10,,,,,30030.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-11,1339196.0,1066590.0,272606.0,,28276.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-12,1355698.0,1076427.0,279271.0,16502.0,24802.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-13,1405898.0,1101897.0,304001.0,50200.0,27175.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-14,1456293.0,1138269.0,318024.0,50395.0,30067.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-15,1485936.0,1152298.0,333638.0,29643.0,31149.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-16,1524724.0,1179062.0,345662.0,38788.0,33537.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-17,1560453.0,1203517.0,356936.0,35729.0,35125.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
Ecuador,2021-05-18,1583399.0,1203778.0,379621.0,22946.0,34886.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid
